Image,target
508.jpg,odissi
246.jpg,sattriya
473.jpg,kuchipudi
485.jpg,odissi
128.jpg,bharatanatyam
410.jpg,kuchipudi
465.jpg,bharatanatyam
196.jpg,kathakali
340.jpg,sattriya
467.jpg,kathak
306.jpg,kathak
171.jpg,bharatanatyam
323.jpg,sattriya
332.jpg,sattriya
330.jpg,sattriya
170.jpg,bharatanatyam
479.jpg,odissi
9.jpg,kathak
283.jpg,mohiniyattam
114.jpg,bharatanatyam
507.jpg,odissi
183.jpg,kathakali
200.jpg,kathakali
457.jpg,odissi
264.jpg,mohiniyattam
194.jpg,kathakali
518.jpg,odissi
175.jpg,kathak
64.jpg,kathak
152.jpg,bharatanatyam
270.jpg,mohiniyattam
125.jpg,bharatanatyam
38.jpg,kathak
440.jpg,kuchipudi
302.jpg,mohiniyattam
394.jpg,kathakali
448.jpg,odissi
463.jpg,odissi
20.jpg,kathak
301.jpg,odissi
28.jpg,kathak
61.jpg,kathak
398.jpg,kathak
349.jpg,sattriya
271.jpg,mohiniyattam
286.jpg,sattriya
431.jpg,odissi
316.jpg,sattriya
224.jpg,kathakali
411.jpg,kuchipudi
278.jpg,mohiniyattam
456.jpg,mohiniyattam
45.jpg,kathak
324.jpg,sattriya
6.jpg,kathak
59.jpg,sattriya
86.jpg,manipuri
470.jpg,odissi
374.jpg,odissi
132.jpg,bharatanatyam
216.jpg,kathakali
95.jpg,manipuri
17.jpg,kathak
162.jpg,kuchipudi
346.jpg,sattriya
439.jpg,kuchipudi
232.jpg,kathakali
150.jpg,bharatanatyam
401.jpg,kathak
145.jpg,bharatanatyam
23.jpg,kathak
514.jpg,odissi
193.jpg,kathakali
416.jpg,kuchipudi
447.jpg,odissi
220.jpg,kathakali
505.jpg,odissi
147.jpg,kuchipudi
210.jpg,kathakali
40.jpg,kathak
284.jpg,kuchipudi
55.jpg,kathak
378.jpg,kuchipudi
520.jpg,kuchipudi
484.jpg,odissi
112.jpg,kuchipudi
360.jpg,mohiniyattam
317.jpg,sattriya
71.jpg,manipuri
202.jpg,kathakali
92.jpg,manipuri
11.jpg,kathak
67.jpg,kathak
138.jpg,bharatanatyam
506.jpg,kuchipudi
146.jpg,bharatanatyam
318.jpg,kathak
198.jpg,kathakali
375.jpg,kuchipudi
41.jpg,kuchipudi
421.jpg,odissi
129.jpg,bharatanatyam
14.jpg,kathak
460.jpg,odissi
34.jpg,kathak
380.jpg,kuchipudi
238.jpg,kathakali
392.jpg,odissi
80.jpg,manipuri
517.jpg,kathak
13.jpg,kathak
189.jpg,kathakali
390.jpg,kuchipudi
487.jpg,odissi
438.jpg,kuchipudi
482.jpg,odissi
206.jpg,kathakali
217.jpg,kathakali
285.jpg,kathak
385.jpg,kuchipudi
495.jpg,odissi
269.jpg,odissi
429.jpg,kuchipudi
291.jpg,mohiniyattam
461.jpg,kathak
256.jpg,mohiniyattam
48.jpg,kathak
290.jpg,mohiniyattam
437.jpg,kathak
498.jpg,odissi
173.jpg,kuchipudi
280.jpg,mohiniyattam
119.jpg,bharatanatyam
363.jpg,kuchipudi
97.jpg,manipuri
414.jpg,kuchipudi
386.jpg,odissi
424.jpg,kathak
157.jpg,bharatanatyam
33.jpg,kathak
354.jpg,sattriya
57.jpg,kathak
108.jpg,manipuri
239.jpg,kathakali
441.jpg,kathak
215.jpg,kathakali
373.jpg,kathak
292.jpg,mohiniyattam
110.jpg,manipuri
510.jpg,kuchipudi
275.jpg,sattriya
366.jpg,sattriya
226.jpg,kathakali
35.jpg,kathak
458.jpg,odissi
358.jpg,sattriya
