ID,DEFCON_Level
1,3
10,3
14,3
17,2
21,2
40,2
45,2
50,3
52,2
85,2
95,4
106,3
111,2
123,4
129,2
130,3
132,4
137,2
159,3
161,2
162,1
166,3
170,4
173,3
177,2
180,3
182,2
183,2
184,3
188,3
190,3
191,2
201,2
203,2
206,2
217,2
220,2
221,2
225,3
229,2
231,2
232,2
234,3
236,3
237,2
240,2
245,2
250,2
252,2
254,3
261,3
265,2
266,2
271,2
273,3
274,2
275,2
280,2
285,2
292,3
304,2
311,3
316,2
317,3
318,2
321,2
322,2
327,2
332,4
338,2
356,4
364,2
372,4
379,3
380,2
384,1
388,4
390,2
401,2
408,3
413,2
416,2
426,3
428,2
432,2
433,2
437,3
440,3
444,3
447,3
451,2
461,2
469,3
470,2
481,2
483,4
490,2
491,3
494,3
495,2
497,3
504,2
509,3
511,3
513,2
514,3
518,3
520,4
526,3
529,3
530,2
532,3
536,2
543,3
553,2
559,2
561,3
563,3
566,2
593,2
595,3
597,2
602,3
604,2
615,2
617,3
618,2
622,3
626,1
633,2
636,2
642,4
648,2
651,3
653,2
658,3
659,2
660,3
662,2
665,3
674,2
676,2
682,2
686,3
687,3
692,2
699,3
703,3
706,2
708,2
714,2
719,3
721,4
725,2
728,2
733,3
735,2
736,2
745,3
762,2
768,2
773,2
777,1
781,3
782,3
797,2
801,2
815,2
818,3
824,2
832,2
834,2
842,2
850,2
855,2
860,2
865,1
867,2
868,2
873,3
876,3
882,2
886,2
887,2
888,3
889,2
898,3
902,2
908,3
909,3
914,3
927,2
940,2
944,2
950,3
951,2
953,3
956,3
967,3
977,2
978,2
979,3
982,2
989,3
990,2
999,2
1005,2
1011,2
1013,3
1015,2
1018,3
1021,3
1022,2
1024,2
1025,3
1031,2
1036,2
1048,3
1050,2
1055,2
1057,3
1072,2
1075,2
1082,2
1102,2
1103,3
1109,2
1114,3
1116,4
1123,4
1127,4
1135,2
1143,2
1144,3
1147,3
1149,3
1155,2
1158,3
1160,2
1164,2
1170,3
1175,2
1179,3
1186,3
1193,2
1197,2
1198,2
1207,2
1213,3
1217,2
1226,2
1227,3
1234,2
1238,2
1240,2
1242,2
1250,2
1251,2
1256,3
1258,3
1269,3
1270,3
1271,3
1272,2
1279,3
1282,2
1284,3
1285,3
1286,3
1294,2
1305,3
1310,3
1312,3
1325,2
1333,2
1343,2
1347,3
1348,3
1350,3
1355,3
1357,2
1371,3
1378,2
1393,4
1398,3
1405,2
1406,3
1407,3
1421,4
1431,3
1432,3
1437,3
1439,3
1440,3
1441,1
1442,3
1448,2
1450,3
1453,3
1454,3
1460,4
1461,4
1473,3
1481,2
1488,3
1499,2
1502,1
1505,3
1511,3
1516,3
1523,3
1527,3
1560,3
1566,2
1567,2
1568,2
1569,2
1570,2
1576,4
1589,2
1592,2
1598,3
1599,2
1600,3
1607,3
1608,1
1611,2
1613,3
1623,3
1647,3
1649,2
1658,3
1662,3
1668,2
1676,2
1678,2
1682,2
1690,2
1701,4
1710,2
1723,3
1725,3
1747,2
1748,2
1754,4
1756,2
1757,3
1770,2
1774,2
1776,3
1789,2
1794,2
1804,3
1806,3
1807,2
1811,3
1814,2
1826,2
1832,3
1835,2
1839,3
1840,3
1848,2
1849,2
1850,4
1854,4
1861,2
1866,2
1868,2
1872,3
1875,3
1877,3
1879,4
1880,3
1892,1
1896,3
1898,3
1899,2
1903,2
1909,3
1912,3
1920,2
1933,3
1940,2
1941,3
1944,2
1946,3
1950,2
1955,2
1957,3
1958,3
1965,2
1971,2
1974,3
1980,3
1984,3
1990,2
1991,3
1994,2
1997,3
2006,3
2008,3
2013,3
2015,4
2016,3
2021,2
2023,2
2038,3
2040,2
2048,2
2063,2
2073,4
2075,2
2081,2
2082,4
2086,2
2090,3
2091,2
2094,2
2096,3
2097,3
2101,2
2103,3
2106,2
2107,3
2113,2
2122,2
2123,2
2132,2
2134,4
2141,3
2145,4
2147,3
2149,3
2155,3
2161,2
2177,2
2179,4
2182,3
2192,4
2195,1
2196,2
2197,3
2199,3
2204,2
2206,2
2212,2
2215,2
2217,2
2220,2
2222,2
2227,2
2239,2
2241,2
2246,3
2254,2
2255,3
2259,2
2263,3
2264,2
2269,4
2281,3
2284,3
2285,5
2292,2
2293,3
2299,4
2301,3
2302,3
2303,2
2307,4
2315,3
2316,3
2317,2
2320,2
2322,3
2334,3
2336,2
2342,3
2343,2
2349,2
2354,3
2357,3
2364,4
2370,3
2379,3
2389,2
2400,3
2402,2
2406,4
2427,3
2429,2
2435,2
2438,3
2439,3
2449,4
2454,2
2455,2
2462,2
2471,3
2472,4
2475,2
2476,2
2483,2
2485,3
2488,3
2492,3
2494,4
2504,3
2510,2
2516,2
2517,2
2519,3
2527,2
2529,2
2540,2
2546,3
2553,1
2554,2
2558,3
2572,2
2585,3
2587,2
2597,2
2599,3
2600,3
2601,3
2608,3
2613,2
2616,3
2619,2
2620,2
2621,2
2622,3
2623,2
2634,3
2636,1
2640,2
2643,2
2646,3
2651,3
2653,3
2654,3
2657,2
2658,3
2664,4
2667,3
2668,2
2680,2
2682,4
2692,2
2693,2
2695,2
2697,3
2698,4
2703,2
2718,3
2728,4
2729,3
2736,3
2737,3
2738,2
2739,3
2746,2
2750,2
2755,3
2764,2
2767,3
2769,3
2772,2
2777,3
2778,2
2779,3
2780,3
2785,2
2793,3
2801,2
2814,3
2821,3
2828,2
2834,2
2844,2
2848,2
2850,4
2852,3
2860,2
2861,3
2864,2
2868,2
2886,3
2887,2
2890,4
2892,2
2907,3
2908,3
2909,2
2914,3
2917,3
2923,3
2924,3
2934,3
2937,2
2945,2
2948,3
2950,2
2953,2
2955,2
2959,3
2971,3
2974,3
2987,3
2994,3
2995,3
3003,2
3013,3
3014,2
3015,2
3028,2
3041,2
3053,3
3057,3
3059,3
3060,2
3069,4
3071,3
3072,4
3082,2
3084,3
3086,3
3098,3
3100,2
3102,4
3110,2
3111,3
3118,3
3119,2
3125,4
3133,2
3136,2
3141,4
3149,3
3150,4
3155,2
3156,3
3160,2
3163,2
3175,2
3180,2
3188,2
3192,2
3193,2
3197,3
3201,3
3204,3
3206,3
3210,3
3212,2
3216,2
3239,2
3240,2
3246,2
3247,3
3252,2
3259,4
3262,2
3264,4
3275,2
3280,3
3282,4
3289,4
3294,3
3297,3
3299,3
3302,3
3308,2
3311,4
3315,2
3317,3
3319,3
3326,3
3330,2
3331,1
3333,3
3337,3
3344,2
3359,2
3369,3
3372,2
3373,2
3374,3
3384,2
3385,3
3395,3
3399,3
3401,3
3406,4
3410,3
3420,3
3422,2
3428,3
3431,2
3434,2
3436,3
3440,3
3443,3
3451,3
3454,2
3455,3
3456,2
3462,2
3463,2
3464,4
3470,2
3477,3
3485,2
3486,3
3489,3
3490,1
